id,sku,type
1280,255390,Game
1281,12140,Game
1282,12150,Game
1283,204100,Game
1284,213370,dlc
1285,18600,Game
1286,220860,Game
1287,248550,Game
1288,321150,Game
1289,268220,Game
1290,200490,Game
1291,243200,Game
1292,307070,Game
1293,7830,Game
1294,64000,Game
1295,204860,Game
1296,3130,Game
1297,63940,Game
1298,32200,Game
1299,299840,Game
1300,250180,Game
1301,43160,Advertising
1302,223510,Game
1303,290380,Game
1304,208630,Game
1305,208640,Game
1306,208620,Game
1307,48220,Game
1308,280140,Game
1309,298840,Game
1310,299180,Game
1311,223430,Game
1312,209520,Game
1313,35000,Game
1314,291630,Game
1315,263620,Game
1316,32460,Game
1317,226740,Game
1318,258950,Game
1319,269350,Game
1320,314020,Game
1321,205350,Advertising
1322,237110,Game
1323,291290,Game
1324,22100,Game
1325,48700,Game
1326,48705,dlc
1327,48720,Game
1328,105420,Game
1329,263700,Game
1330,274900,Game
1331,267360,Game
1332,110630,Game
1333,55140,Game
1334,63660,Game
1335,208110,Game
1336,40380,Game
1337,225180,Game
1338,39800,Game
1339,200050,Game
1340,98500,Game
1341,302390,Game
1342,7860,Game
1343,46250,Game
1344,248860,Game
1345,249550,Game
1346,218020,Game
1347,6420,Game
1348,279500,Game
1349,307190,Game
1350,284790,Game
1351,301050,Game
1352,219950,Game
1353,99700,Game
1354,252670,Game
1355,37010,Game
1356,260380,Game
1357,299780,Game
1358,283290,Game
1359,17710,Game
1360,301700,Game
1361,60800,Game
1362,307350,Game
1363,281390,Game
1364,314290,Game
1365,11330,Game
1366,311400,Game
1367,211360,Game
1368,216910,Game
1369,274250,Game
1370,248350,Game
1371,208520,Game
1372,215373,dlc
1373,215371,dlc
1374,215370,dlc
1375,215374,dlc
1376,259870,Game
1377,321030,Game
1378,252010,Game
1379,18000,Game
1380,18020,Game
1381,257990,Game
1382,12830,Game
1383,44340,Game
1384,298520,Game
1385,308580,Game
1386,233740,Game
1387,235320,Game
1388,262790,Game
1389,238320,Game
1390,273300,dlc
1391,263840,Advertising
1392,263980,Game
1393,293180,Game
1394,11450,Game
1395,12710,Game
1396,12810,Game
1397,39530,Game
1398,206760,Game
1399,65560,Game
1400,39560,Game
1401,214870,Game
1402,229210,dlc
1403,3270,Game
1404,277630,Game
1405,263560,Game
1406,227080,Game
1407,299820,Game
1408,246300,Game
1409,268810,Game
1410,289400,Game
1411,259470,Game
1412,212700,Game
1413,65710,Game
1414,33570,Game
1415,57730,dlc
1416,57620,Game
1417,213030,Game
1418,237570,Game
1419,22120,Game
1420,22180,Game
1421,22140,Game
1422,289440,Game
1423,332480,Game
1424,204440,Game
1425,204390,Game
1426,327380,Game
1427,49330,Game
1428,305740,Game
1429,284950,Game
1430,285010,Game
1431,289420,Game
1432,291050,Game
1433,218510,Game
1434,307340,Game
1435,319180,Game
1436,303840,Game
1437,234710,Game
1438,31280,Game
1439,243280,Game
1440,205610,Game
1441,232770,Game
1442,223470,Game
1443,91900,Game
1444,275080,Game
1445,46550,Game
1446,263140,Game
1447,33980,Game
1448,277460,Game
1449,292620,Game
1450,211280,Game
1451,235360,Game
1452,19980,Game
1453,33320,Game
1454,13600,Game
1455,13530,Game
1456,13500,Game
1457,258070,Game
1458,263420,Game
1459,266250,Game
1460,21400,Game
1461,284970,Game
1462,290320,Game
1463,10150,Game
1464,115320,Game
1465,301680,Game
1466,222140,Game
1467,280460,Game
1468,31270,Game
1469,94590,Game
1470,57200,Game
1471,23700,Game
1472,33650,Game
1473,203730,Advertising
1474,239430,Game
1475,329320,Game
1476,290440,Game
1477,264560,Game
1478,270050,Game
1479,283660,Game
1480,8600,Game
1481,292380,Game
1482,211500,Game
1483,301750,Game
1484,9200,Game
1485,279520,Game
1486,96300,Game
1487,253410,Game
1488,209730,Game
1489,242550,Game
1490,34920,Game
1491,289460,Game
1492,281370,Game
1493,267670,Game
1494,270750,Game
1495,270760,Game
1496,237550,Game
1497,264840,dlc
1498,292390,Game
1499,63600,Game
1500,253470,Game
1501,270930,dlc
1502,15950,Game
1503,20530,Game
1504,20500,Game
1505,276190,dlc
1506,20550,Game
1507,312050,Game
1508,288730,Game
1509,247870,Game
1510,281860,Game
1511,46380,Game
1512,286200,Game
1513,228300,Game
1514,253130,Game
1515,265790,Game
1516,328080,Game
1517,204630,Game
1518,9010,Game
1519,277110,Game
1520,277270,Game
1521,274560,Game
1522,328430,Game
1523,298140,Game
1524,279260,Game
1525,65070,Game
1526,2540,Game
1527,2545,Game
1528,2550,Game
1529,257790,Game
1530,40300,Game
1531,40390,Game
1532,12770,Game
1533,217140,Game
1534,63610,Game
1535,46560,Game
1536,4300,Game
1537,284200,Game
1538,107800,Game
1539,107821,dlc
1540,215510,Game
1541,297620,Game
1542,295770,Game
1543,38210,Game
1544,286440,Game
1545,311040,Game
1546,7210,Game
1547,58560,Game
1548,7220,Game
1549,210950,Game
1550,38720,Game
1551,234490,Game
1552,303470,Game
1553,292960,dlc
1554,40500,Game
1555,225640,Game
1556,207930,Game
1557,12320,Game
1558,9480,Game
1559,55230,Game
1560,206420,Game
1561,301670,Game
1562,326420,Game
1563,203990,Game
1564,259530,Game
1565,258760,Game
1566,202370,Game
1567,269010,Game
1568,227560,Game
1569,46460,Game
1570,45100,Game
1571,305570,dlc
1572,38220,Game
1573,71240,Game
1574,306260,Game
1575,293200,Game
1576,253940,Game
1577,200910,Game
1578,204340,Game
1579,201480,Game
1580,111600,Game
1581,41000,Game
1582,215770,Game
1583,2500,Game
1584,11200,Game
1585,251770,Game
1586,286770,Game
1587,316480,Game
1588,272030,Unknown
1589,300550,Game
1590,260270,Game
1591,233130,Game
1592,6120,Game
1593,102840,Game
1594,289050,Game
1595,234370,Game
1596,18110,Game
1597,11040,Game
1598,209230,Game
1599,11190,Game
1600,259510,Game
1601,200190,Game
1602,244070,Game
1603,244090,Game
1604,3910,Game
1605,3900,Game
1606,34440,Game
1607,34460,Game
1608,8800,Game
1609,16810,Game
1610,34470,Config
1611,3990,Game
1612,34450,Game
1613,235580,dlc
1614,7600,Game
1615,312270,Game
1616,19000,Game
1617,254960,Game
1618,254980,Game
1619,4420,Game
1620,4470,Game
1621,207040,Game
1622,42670,Game
1623,326180,Game
1624,270950,Game
1625,228960,Game
1626,91100,Game
1627,252910,Game
1628,238890,Game
1629,328470,Game
1630,202170,Game
1631,252330,Game
1632,291070,Game
1633,302110,Game
1634,235620,Game
1635,3700,Game
1636,227100,Game
1637,247910,Game
1638,63380,Game
1639,34870,Game
1640,232644,dlc
1641,329480,Game
1642,111100,Game
1643,200410,Game
1644,212480,Game
1645,71250,Game
1646,283310,Game
1647,313020,Game
1648,313760,dlc
1649,71260,Game
1650,92800,Game
1651,3220,Game
1652,27800,Game
1653,315260,Game
